,MKT_RF,SMB,HML,RMW,CMA,MOM
AAPL,1.21539,-0.16012,-0.50025,0.47607,0.18854,0.02944
MSFT,1.18958,-0.35375,-0.27418,0.31447,-0.42465,0.10964
AMZN,1.01899,-0.32438,-0.29910,-0.02545,-1.16019,0.03959
GOOGL,1.06575,-0.24749,-0.17171,0.21461,-0.72528,0.02271
NVDA,1.64873,0.02231,-0.69379,0.13426,-0.61931,0.21245
CAT,1.07076,0.24315,0.51111,0.00665,0.31654,-0.04181
ABT,0.87063,-0.27954,-0.23851,-0.08095,0.40230,-0.04143
JPM,1.06573,-0.23673,1.16235,-0.32364,-0.52775,-0.02146
V,1.03613,-0.24406,0.14359,0.11199,-0.23495,0.03029
MA,1.14539,-0.22230,0.07803,0.17536,-0.20297,0.00431
NFLX,1.02880,-0.24331,-0.42874,-0.32667,-0.95586,0.00767
UNH,0.88339,-0.14474,0.11962,0.30055,0.11793,0.13446
MCK,0.78967,-0.09717,0.07289,0.24082,0.45387,0.00140
PG,0.64334,-0.38757,-0.16741,0.31754,0.66922,-0.06352
HD,0.98947,0.22343,-0.14652,0.52559,0.11555,0.04221
XOM,0.89382,-0.19027,0.80762,-0.45454,0.52342,-0.15698
CVX,1.02910,-0.22412,0.84725,-0.45884,0.48347,-0.12645
WMT,0.58616,-0.13758,-0.24169,0.34926,0.50312,0.03691
KO,0.64346,-0.24658,0.03595,0.35431,0.45596,-0.09126
MMM,0.85954,0.12489,0.05331,0.42439,0.41380,-0.15483
BAC,1.16154,-0.17898,1.37136,-0.51942,-0.64869,-0.07668
C,1.24292,-0.09615,1.30830,-0.47701,-0.57282,-0.10959
GS,1.13385,-0.00057,0.99023,-0.29720,-0.49249,0.04634
JCI,0.94760,0.24501,0.20162,0.26109,0.13394,-0.07948
IBM,0.88579,-0.06986,0.16362,0.21310,0.45064,-0.07011
INTC,1.25419,-0.05896,-0.17283,0.01684,0.23114,-0.01397
CSCO,1.02328,-0.08504,-0.12143,0.33120,0.43511,-0.04151
BA,1.30633,0.25889,0.42325,0.03367,0.08877,-0.23767
GE,1.09231,0.08456,0.45288,-0.08023,0.35456,-0.22738
MCD,0.73221,-0.15413,0.11801,0.21081,0.21101,0.08489
